Автомобильная дорога;Местоположение остановочной площадки, км;Наименование;Расположение;Наличие павильона
Йошкар–Ола - Уржум;32.565;Алексеевский;Справа;Есть
Йошкар–Ола - Уржум;33.466;Алексеевский;Слева;Нет
Йошкар–Ола - Уржум;33.546;Алексеевский;Справа;Нет
Йошкар–Ола - Уржум;40.723;Советский;Справа;Нет
Йошкар–Ола - Уржум;40.723;Советский;Слева;Есть
Йошкар–Ола - Уржум;43.908;;Справа;Нет
Йошкар–Ола - Уржум;48.866;Комсомольский;Слева;Есть
Йошкар–Ола - Уржум;49.64;Комсомольский;Справа;Нет
Йошкар–Ола - Уржум;50.609;Немецродо;Слева;Есть
Йошкар–Ола - Уржум;51.57;Верх-Ушнур;Справа;Нет
Йошкар–Ола - Уржум;51.826;Верх -Ушнур;Слева;Есть
Йошкар–Ола - Уржум;52.19;Верх -Ушнур;Справа;Нет
Йошкар–Ола - Уржум;58.51;Нурсола;Слева;Нет
Йошкар–Ола - Уржум;58.471;Нурсола;Справа;Есть
Йошкар–Ола - Уржум;61.274;Пондашсола;Слева;Есть
Йошкар–Ола - Уржум;61.502;Верх-Ушнур;Справа;Есть
Йошкар–Ола - Уржум;62.632;Тумьюмучаш;Слева;Есть
Йошкар–Ола - Уржум;62.902;Ерошкино;Справа;Есть
Йошкар–Ола - Уржум;64.83;Одобеляк;Слева;Есть
Йошкар–Ола - Уржум;64.299;Одобеляк;Справа;Есть
Йошкар–Ола - Уржум;69.554;Тунья;Слева;Есть
Йошкар–Ола - Уржум;69.755;Тунья;Справа;Есть
Йошкар–Ола - Уржум;72.857;Токтайбеляк;Справа;Есть
Йошкар–Ола - Уржум;76.375;Чашкаял;Слева;Есть
Йошкар–Ола - Уржум;82.358;Куприяново;Справа;Есть
Йошкар–Ола - Уржум;89.234;;Справа;Есть
Йошкар–Ола - Уржум;94.83;;Слева;Есть
Йошкар–Ола - Уржум;94.196;;Справа;Нет
Йошкар–Ола - Уржум;98.215;Лажьял;Слева;Есть
Йошкар–Ола - Уржум;100.788;;Слева;Есть
Йошкар–Ола - Уржум;103.807;Параньга;Справа;Есть
Йошкар–Ола - Уржум;107.727;;Справа;Нет
Йошкар–Ола - Уржум;107.9;Елеево;Слева;Есть
Йошкар–Ола - Уржум;108.674;Елеево;Справа;Есть
Йошкар–Ола - Уржум;113.687;Ляжмарь;Слева;Есть
Йошкар–Ола - Уржум;114.41;Мари-Ляжмарь;Справа;Нет
Йошкар–Ола - Уржум;118.749;;Справа;Нет
Йошкар–Ола - Уржум;118.807;Скрябино;Слева;Есть
Йошкар–Ола - Уржум;120.768;;Слева;Нет
Йошкар–Ола - Уржум;129.362;Малинкино;Справа;Нет
Йошкар–Ола - Уржум;129.667;Малинкино;Слева;Есть
Йошкар–Ола - Уржум;131.998;;Слева;
Йошкар–Ола - Уржум;132.146;;Справа;
Йошкар–Ола - Санчурск;6.746;Мышино;Слева;Есть
Йошкар–Ола - Санчурск;10.57;Ельняги;Слева;Есть
Йошкар–Ола - Санчурск;12.294;Салтак Корем;Слева;Есть
Йошкар–Ола - Санчурск;14.938;Арбаны;Слева;Есть
Йошкар–Ола - Санчурск;15.81;Арбаны;Справа;Нет
Йошкар–Ола - Санчурск;18.233;Мазары;Справа;Нет
Йошкар–Ола - Санчурск;18.354;Мазары;Слева;Есть
Йошкар–Ола - Санчурск;20.335;Сады Заря;Слева;Есть
Йошкар–Ола - Санчурск;21.69;;Слева;Нет
Йошкар–Ола - Санчурск;21.128;;Справа;Нет
Йошкар–Ола - Санчурск;21.853;;Слева;Нет
Йошкар–Ола - Санчурск;21.906;;Справа;Нет
Йошкар–Ола - Санчурск;25.248;Яныкайсола;Справа;Нет
Йошкар–Ола - Санчурск;25.34;Яныкайсола;Слева;Есть
Йошкар–Ола - Санчурск;27.498;Сады Гигант;Справа;Есть
Йошкар–Ола - Санчурск;27.61;Сады Гигант;Слева;Нет
Йошкар–Ола - Санчурск;32.702;;Справа;Нет
Йошкар–Ола - Санчурск;32.754;;Слева;Есть
Йошкар–Ола - Санчурск;34.793;М.Речка;Слева;Есть
Мари-Билямор - Сенда;1.417;Александровский;Слева;Есть
Мари-Билямор - Сенда;1.466;Александровский;Справа;Нет
Мари-Билямор - Сенда;3.48;Лесной;Слева;Есть
Мари-Билямор - Сенда;5.141;Сенда;Слева;Есть
Оршанка - Упша;1.954;Оршанка;Слева;Есть
Оршанка - Упша;3.169;Малая Орша;Слева;Есть
Оршанка - Упша;11.995;Упша;Слева;Есть
Оршанка - Упша;13.249;Упша;Слева;Есть
Анисково - Лужбеляк - Малый Кугланур;0.133;;Справа;Нет
Анисково - Лужбеляк - Малый Кугланур;4.561;Лужбеляк;Слева;Есть
Анисково - Лужбеляк - Малый Кугланур;7.845;Наволож;Слева;Есть
Анисково - Лужбеляк - Малый Кугланур;7.879;Наволож;Справа;Нет
Анисково - Лужбеляк - Малый Кугланур;9.557;Кр. Речка;Слева;Нет
Анисково - Лужбеляк - Малый Кугланур;9.6;Кр. Речка;Справа;Нет
Анисково - Лужбеляк - Малый Кугланур;12.49;;Слева;Нет
Воробьи - Табашино;2.899;;Справа;Нет
Воробьи - Табашино;2.941;;Слева;Нет
Ильинка - Пуял;1.271;Ильинка;Слева;Есть
Ильинка - Пуял;1.345;Ильинка;Справа;Есть
Ильинка - Пуял;3.63;Старое Крещено;Слева;Есть
Ильинка - Пуял;3.68;Старое Крещено;Справа;Нет
Ильинка - Пуял;8.565;Великополье;Слева;Есть
Ильинка - Пуял;11.674;Мари-Енур;Слева;Есть
Ильинка - Пуял;11.754;Мари-Енур;Справа;Нет
Анисково - Отары - Аппаково;3.172;;Справа;Есть
Пуялка - Чирки;1.831;;Слева;Нет
Пуялка - Чирки;1.885;;Справа;Нет
Пуялка - Чирки;3.337;;Слева;Есть
Пуялка - Чирки;3.754;;Справа;Нет
Пуялка - Чирки;10.353;Чирки;Слева;Есть
Пуялка - Чирки;10.406;Чирки;Справа;Нет
Пуялка - Чирки;11.625;;Слева;Есть
Упша - Хорошавинский;6.736;Хорошавинский;Слева;Есть
Оршанка - Клюкино;0.569;Оршанка;Слева;Есть
Оршанка - Клюкино;1.636;Оршанка;Слева;Есть
Подъезд к д. Лавровка;0.7;;Слева;Есть
Подъезд к д. Лавровка;1.407;;Справа;Есть
Нюхта - Поланур;2.164;;Слева;Есть
Кюшнур - Лесной;1.189;Лесной;Слева;Есть
Шойбулак - Купсола - Курукнур;4.644;Курукнур;Слева;Есть
Шойбулак - Цибикнур - Тумер;0.82;Шойбулак;Справа;Есть
Шойбулак - Цибикнур - Тумер;2.69;Нюхта;Слева;Есть
Шойбулак - Цибикнур - Тумер;4.339;Орешкино;Слева;Есть
Шойбулак - Цибикнур - Тумер;6.174;Цибикнур;Слева;Есть
Шойбулак - Цибикнур - Тумер;7.85;Цибикнур;Слева;Есть
Шойбулак - Цибикнур - Тумер;7.179;Цибикнур;Справа;Нет
Шойбулак - Цибикнур - Тумер;9.903;Новая Кушма;Слева;Нет
Шойбулак - Цибикнур - Тумер;9.961;Новая Кушма;Справа;Нет
Шойбулак - Цибикнур - Тумер;11.129;Кугуван;Слева;Есть
Шойбулак - Цибикнур - Тумер;11.185;Кугуван;Справа;Нет
Подъезд к п. Светлый;0.865;;Слева;Есть
Йошкар–Ола - Большая Ноля;1.66;Большая Ноля;Слева;Есть
Йошкар–Ола - Большая Ноля;3.194;Большая Ноля;Справа;Есть
Йошкар–Ола - Большая Ноля;3.207;Большая Ноля;Слева;Есть
Подъезд к п. Чернушка;2.84;п. Чернушка;Слева;Есть
Большой Сердеж - Летник - Мари-Пижай;6.665;Мари-Шолнер;Слева;Нет
Большой Сердеж - Летник - Мари-Пижай;6.698;Мари-Шолнер;Справа;Есть
Большой Сердеж - Летник - Мари-Пижай;12.48;Удельный Пижай;Справа;Нет
Суслонгер - Мочалище - Филиппсола;1.541;Суслонгер;Слева;Есть
Сернур - Калеево;1.564;Сернур;Справа;Есть
Сернур - Калеево;5.338;Кочанур;Справа;Есть
Сернур - Калеево;8.393;Б. Сердеж;Слева;Есть
Сернур - Калеево;8.519;Б. Сердеж;Справа;Нет
Сернур - Калеево;9.608;Пирогово;Слева;Есть
Сернур - Калеево;9.784;Пирогово;Справа;Нет
Сернур - Калеево;13.28;Кр. Ключ;Слева;Есть
Сернур - Калеево;13.62;Кр. Ключ;Справа;Нет
Сернур - Калеево;16.128;Зашижемье;Слева;Есть
Сернур - Калеево;16.606;Б. Онучино;Справа;Нет
Сернур - Калеево;21.927;Тараканово;Слева;Нет
Сернур - Калеево;22.345;Тараканово;Справа;Нет
Сернур - Калеево;25.49;Калеево;Слева;Есть
Исменцы - Лесная;3.677;;Справа;Есть
Ташнур - Янашбеляк;1.557;Ташнур;Слева;Есть
Иркино - Торганово - Красный Яр;1.581;Иркино;Слева;Есть
Иркино - Торганово - Красный Яр;1.586;Иркино;Справа;Нет
Подъезд к с. Кокшайск;7.115;гостиничный комплекс Олимп;Слева;Есть
Подъезд к п. Таир;2.918;п. Таир;Слева;Есть
Подъезд к с. Сидельниково;2.32;с. Сидельниково;Справа;Есть
Подъезд к д. Кокшамары;3.685;д.Кокшамары;Слева;Есть
Подъезд к д. Кокшамары;3.77;д.Кокшамары;Справа;Нет
Мари-Шолнер - Лоскутово - Токтамыж;7.102;Лоскутово;Слева;Есть
Мари-Шолнер - Лоскутово - Токтамыж;11.943;Токтамыж;Справа;Есть
Верхний Кугенер - Большая Мушка - Кучукенер;4.313;;Слева;Есть
Чендемерово - Большая Коклала;2.765;;Слева;Есть
Чендемерово - Большая Коклала;3.737;;Слева;Есть
Малое Онучино-Зашижемье;1.456;Зашижемье;Слева;Есть
Марисола - Большие Ключи - Верхний Писинер;4.47;;Слева;Есть
Марисола - Большие Ключи - Верхний Писинер;4.85;;Справа;Нет
Марисола - Большие Ключи - Верхний Писинер;7.287;;Слева;Есть
Кукнур - Эшполдино;0.89;;Справа;Есть
Кукнур - Эшполдино;10.285;Эшполдино;Слева;Есть
Кукнур - Эшполдино;10.42;Эшполдино;Справа;Нет
Кожласола - Шаба - Ерши;6.195;;Слева;Есть
Нижний Рушенер - Куракино;5.616;Куськино;Слева;Есть
Кукнур - Читово;1.702;Кукнур;Справа;Есть
Йошкар–Ола - Уржум (обратное направление);18.8;Ежово-Мироносицкий монастырь;Слева;Есть
Йошкар–Ола - Уржум (обратное направление);22.362;Шуарсола;Слева;Есть
Йошкар–Ола - Уржум (обратное направление);23.599;Азаново;Слева;Нет
Йошкар–Ола - Уржум (обратное направление);24.669;Юбилейный;Слева;Есть
Параньга - Алашайка - Портчара;0.54;Алашайка;Справа;Есть
Параньга - Алашайка - Портчара;2.4;Тоштоял;Слева;Есть
Параньга - Алашайка - Портчара;4.725;Куянково;Слева;Есть
Объездная автодорога п.г.т. Параньга;7.16;Параньга;Слева;Есть
Мари-Турек - Мари-Билямор;1.831;Мари-Турек;Справа;Есть
Мари-Турек - Мари-Билямор;5.552;Тат-Китня;Слева;Есть
Мари-Турек - Мари-Билямор;5.708;Тат-Китня;Справа;Нет
Мари-Турек - Мари-Билямор;6.233;Тат- Китня;Слева;Есть
Мари-Турек - Мари-Билямор;7.346;Тат- Китня;Слева;Есть
Мари-Турек - Мари-Билямор;8.776;Тат-Китня;Слева;Есть
Мари-Турек - Мари-Билямор;10.871;Яхино;Слева;Есть
Мари-Турек - Мари-Билямор;13.1;Елымбаево;Слева;Есть
Мари-Турек - Мари-Билямор;14.887;Большие Ноли;Слева;Есть
Мари-Турек - Мари-Билямор;14.932;Большие Ноли;Справа;Нет
Мари-Турек - Мари-Билямор;16.209;Нартас;Слева;Есть
Мари-Турек - Мари-Билямор;16.252;Нартас;Справа;Нет
Хлебниково - Крупино;5.366;Нижняя Мосара;Слева;Есть
Хлебниково - Крупино;5.413;Нижняя Мосара;Справа;Нет
Хлебниково - Крупино;10.858;Крупино;Слева;Есть
Мари-Турек - Мари-Купта - Аимково;9.259;Мари-Купта;Слева;Есть
Большой Карлыган - Сардаял;11.231;Сюльта;Слева;Есть
Большой Карлыган - Сардаял;11.361;Сюльта;Справа;Нет
Параньга - Олоры;2.349;;Справа;Есть
Параньга - Олоры;5.709;Усола;Слева;Есть
Параньга - Олоры;8.206;Тошкемнур;Слева;Есть
Параньга - Олоры;12.158;Олоры;Справа;Есть
Нижняя Мосара - Русская Мосара;1.74;Нижняя Мосара;Справа;Есть
Куракино - Портянур;3.734;Ирнур;Слева;Есть
Елеево - Мари-Турек - Лопово;1.476;Хасаново;Слева;Есть
Елеево - Мари-Турек - Лопово;7.886;Портчара;Слева;Есть
Елеево - Мари-Турек - Лопово;10.884;Мари-Шолнер;Слева;Есть
Елеево - Мари-Турек - Лопово;10.929;Мари-Шолнер;Справа;Нет
Елеево - Мари-Турек - Лопово;13.995;Мари-Турек;Слева;Есть
Елеево - Мари-Турек - Лопово;16.717;Мари-Турек;Справа;Есть
Елеево - Мари-Турек - Лопово;18.179;Заводской;Слева;Есть
Елеево - Мари-Турек - Лопово;19.45;Мари-Возармаш;Слева;Есть
Елеево - Мари-Турек - Лопово;25.182;Алексеевск;Справа;Нет
Елеево - Мари-Турек - Лопово;25.236;Алексеевск;Слева;Есть
Елеево - Мари-Турек - Лопово;35.452;Б.Опарино;Слева;Нет
Елеево - Мари-Турек - Лопово;35.508;Б.Опарино;Справа;Есть
Елеево - Мари-Турек - Лопово;41.115;Хлебниково;Слева;Нет
Елеево - Мари-Турек - Лопово;41.161;Хлебниково;Справа;Есть
Елеево - Мари-Турек - Лопово;45.223;Лом;Слева;Есть
Елеево - Мари-Турек - Лопово;45.273;Лом;Справа;Нет
Елеево - Мари-Турек - Лопово;46.753;Сизнерь;Справа;Есть
Елеево - Мари-Турек - Лопово;56.966;Толтенур;Слева;Есть
Елеево - Мари-Турек - Лопово;56.971;Толтенур;Справа;Нет
Елеево - Мари-Турек - Лопово;57.729;Мари-Посенур;Слева;Есть
Елеево - Мари-Турек - Лопово;57.78;Мари-Посенур;Справа;Нет
Елеево - Мари-Турек - Лопово;59.604;Кукрем;Справа;Нет
Елеево - Мари-Турек - Лопово;59.915;Лопово;Слева;Есть
Елеево - Мари-Турек - Лопово;60.4;Лопово;Справа;Нет
Елеево - Мари-Турек - Лопово;61.454;Шургунур;Слева;Есть
Морки - Русский Кугунур;3.637;Мичуринец;Слева;Есть
Морки - Русский Кугунур;3.856;Мичуринец;Справа;Нет
Морки - Русский Кугунур;8.916;Чукшинский карьер;Слева;Есть
Морки - Русский Кугунур;9.17;Чукшинский карьер;Справа;Нет
Морки - Русский Кугунур;12.4;Ядык Сола;Слева;Есть
Морки - Русский Кугунур;12.51;Ядык Сола;Справа;Нет
Морки - Русский Кугунур;33.475;Русские Шои;Слева;Есть
Морки - Русский Кугунур;35.458;Мари Шои;Слева;Нет
Морки - Русский Кугунур;35.611;Мари Шои;Справа;Есть
Морки - Русский Кугунур;41.211;Чодраял;Слева;Есть
Петъял - Учейкино - Пинжан Кукмор;3.791;Верхний Азъял;Справа;Нет
Петъял - Учейкино - Пинжан Кукмор;3.895; Верхний Азъял;Слева;Есть
Помары - Коркатово;0.144;Помары;Справа;Есть
Помары - Коркатово;2.461;Приволжский;Справа;Есть
Помары - Коркатово;2.572;Приволжский;Слева;Есть
Помары - Коркатово;3.379;Приволжский;Слева;Нет
Помары - Коркатово;3.531;Приволжский;Справа;Есть
Помары - Коркатово;7.904;Красная Горка;Слева;Нет
Помары - Коркатово;7.96;Красная Горка;Справа;Есть
Помары - Коркатово;8.705;Моркиялы;Слева;Есть
Помары - Коркатово;8.75;Моркиялы;Справа;Нет
Помары - Коркатово;9.994;Болотная;Слева;Нет
Помары - Коркатово;10.51;Болотная;Справа;Есть
Помары - Коркатово;12.721;Микушкино;Слева;Есть
Помары - Коркатово;12.984;Микушкино;Справа;Есть
Помары - Коркатово;13.616;Воскресенский;Слева;Есть
Помары - Коркатово;14.928;Бизюргуб;Слева;Есть
Помары - Коркатово;15.167;Бизюргуб;Справа;Нет
Помары - Коркатово;16.863;Старые Параты;Слева;Есть
Помары - Коркатово;16.92;Старые Параты;Справа;Есть
Помары - Коркатово;18.838;Очаково;Слева;Есть
Помары - Коркатово;20.45;Вахоткино;Слева;Есть
Помары - Коркатово;25.737;Карай;Слева;Есть
Помары - Коркатово;25.885;Карай;Справа;Нет
Помары - Коркатово;27.508;Нагорино;Слева;Есть
Помары - Коркатово;27.585;Нагорино;Справа;Нет
Помары - Коркатово;29.261;М. Сосновка;Слева;Есть
Помары - Коркатово;29.351;М. Сосновка;Справа;Нет
Помары - Коркатово;31.498;Петьялы;Справа;Нет
Помары - Коркатово;31.552;Петьялы;Слева;Есть
Помары - Коркатово;32.866;Петьялы;Слева;Есть
Помары - Коркатово;36.233;Ярамор;Справа;Есть
Помары - Коркатово;42.214;Курмузаково;Слева;Есть
Помары - Коркатово;42.631;Курмузаково;Справа;Нет
Помары - Коркатово;63.933;Кульбаш;Слева;Нет
Помары - Коркатово;63.972;Кульбаш;Справа;Есть
Помары - Коркатово;70.447;Морки;Слева;Есть
Приволжский - Эмеково - Челыкино;2.207;Эмеково;Слева;Есть
Приволжский - Эмеково - Челыкино;2.256;Эмеково;Справа;Нет
Приволжский - Эмеково - Челыкино;6.722;Челыкино;Справа;Нет
Морки - Уньжинский - Параньга;6.3;;Справа;Нет
Морки - Уньжинский - Параньга;6.2;;Слева;Есть
Морки - Уньжинский - Параньга;8.23;;Слева;Есть
Морки - Уньжинский - Параньга;19.787;;Справа;Нет
Морки - Уньжинский - Параньга;19.835;;Слева;Есть
Морки - Уньжинский - Параньга;21.477;;Слева;Есть
Морки - Уньжинский - Параньга;21.634;;Справа;Нет
Морки - Уньжинский - Параньга;23.374;;Слева;Есть
Морки - Уньжинский - Параньга;24.775;;Справа;Нет
Морки - Уньжинский - Параньга;24.878;Шиньша;Слева;Есть
Морки - Уньжинский - Параньга;28.786;Ключ-Сап;Слева;Есть
Морки - Уньжинский - Параньга;29.114;;Справа;Нет
Морки - Уньжинский - Параньга;31.305;Сапуньжа;Справа;Нет
Морки - Уньжинский - Параньга;31.468;Сапуньжа;Слева;Есть
Морки - Уньжинский - Параньга;42.399;Уньжинский;Справа;Есть
Морки - Уньжинский - Параньга;68.264;Параньга;Слева;Есть
Хлебниково - Мариец;4.43;;Слева;Нет
Хлебниково - Мариец;4.84;;Справа;Нет
Хлебниково - Мариец;8.436;;Слева;Есть
Хлебниково - Мариец;8.475;;Справа;Нет
Хлебниково - Мариец;14.528;;Слева;Есть
По речке Ноля - Заводской;1.635;Заводской;Слева;Есть
Мариец - Дружино;1.946;Малая Нуса;Слева;Нет
Мариец - Дружино;2.9;Малая Нуса;Справа;Нет
Мариец - Дружино;4.182;Тюнтерь;Слева;Есть
Мариец - Дружино;4.265;Тюнтерь;Справа;Нет
Елеево - Николашкино - Егорково;2.617;Помосьял;Справа;Есть
Елеево - Николашкино - Егорково;7.273;Николашкино;Справа;Есть
Куракино - Яндемирово;2.356;Центральная;Слева;Есть
Полевая - Ильнетуры;2.774;Полевая;Слева;Есть
Полевая - Ильнетуры;3.66;Коротково;Слева;Есть
Сотнур - Нуршари;1.407;Нуршари;Слева;Есть
Чодраял - Новые Карамасы;1.669;Чодыраял;Справа;Есть
Яльчикский - Яльчик;0.525;Яльчик;Справа;Нет
Яльчикский - Яльчик;2.75;ДОК Яльчик;Справа;Нет
Яльчикский - Яльчик;2.767;ДОК Яльчик;Слева;Есть
Яльчикский - Яльчик;6.58;МАРГУ Олимпиец;Слева;Нет
Илеть - Кленовая Гора;0.584;Илеть;Слева;Есть
Илеть - Кленовая Гора;0.9;Илеть;Справа;Нет
Илеть - Кленовая Гора;6.39;Кленовая Гора;Слева;Есть
Илеть - Кленовая Гора;6.611;Кленовая Гора;Справа;Нет
Подъезд к д. Шеменермучаш;1.27;Шеменермучаш;Справа;Есть
Медведево - Пекшиксола - Большой Яшнур;2.24;Тойкино;Слева;Есть
Медведево - Пекшиксола - Большой Яшнур;3.247;Ошурга;Слева;Есть
Медведево - Пекшиксола - Большой Яшнур;3.29;Ошурга;Справа;Нет
Медведево - Пекшиксола - Большой Яшнур;4.363;Митькино;Слева;Есть
Медведево - Пекшиксола - Большой Яшнур;4.383;Митькино;Справа;Нет
Медведево - Пекшиксола - Большой Яшнур;5.833;Пекшиксола;Слева;Есть
Медведево - Пекшиксола - Большой Яшнур;5.914;Пекшиксола;Справа;Есть
Йошкар–Ола - Козьмодемьянск;6.62;Медведево;Слева;Есть
Йошкар–Ола - Козьмодемьянск;6.829;Медведево;Справа;Есть
Йошкар–Ола - Козьмодемьянск;7.215;Медведево;Слева;Есть
Йошкар–Ола - Козьмодемьянск;7.713;Чехова;Справа;Есть
Йошкар–Ола - Козьмодемьянск;7.825;Чехова;Слева;Есть
Йошкар–Ола - Козьмодемьянск;8.461;Мелиорация;Справа;Нет
Йошкар–Ола - Козьмодемьянск;8.605;Мелиорация;Слева;Есть
Йошкар–Ола - Козьмодемьянск;9.333;РУЭМ;Слева;Есть
Йошкар–Ола - Козьмодемьянск;9.345;РУЭМ;Справа;Нет
Йошкар–Ола - Козьмодемьянск;9.665;РУЭМ;Слева;Нет
Йошкар–Ола - Козьмодемьянск;9.704;РУЭМ;Справа;Нет
Йошкар–Ола - Козьмодемьянск;11.4;Крутой Овраг;Слева;Есть
Йошкар–Ола - Козьмодемьянск;11.55;Крутой Овраг;Справа;Нет
Йошкар–Ола - Козьмодемьянск;13.213;Нолька;Слева;Есть
Йошкар–Ола - Козьмодемьянск;13.269;Нолька;Справа;Нет
Йошкар–Ола - Козьмодемьянск;13.9;Ореховка;Слева;Есть
Йошкар–Ола - Козьмодемьянск;13.943;Ореховка;Справа;Есть
Йошкар–Ола - Козьмодемьянск;16.581;Азяково;Слева;Есть
Йошкар–Ола - Козьмодемьянск;16.785;Азяково;Справа;Нет
Йошкар–Ола - Козьмодемьянск;17.915;Азяково;Слева;Нет
Йошкар–Ола - Козьмодемьянск;21.659;Кучки;Слева;Есть
Йошкар–Ола - Козьмодемьянск;21.7;Кучки;Справа;Нет
Йошкар–Ола - Козьмодемьянск;39.747;Старожильск;Слева;Есть
Йошкар–Ола - Козьмодемьянск;49.505;Красный мост;Слева;Есть
Йошкар–Ола - Козьмодемьянск;49.67;Красный мост;Справа;Нет
Йошкар–Ола - Козьмодемьянск;73.18;Мадарские Выселки;Слева;Есть
Йошкар–Ола - Козьмодемьянск;73.109;Мадарские Выселки;Справа;Нет
Йошкар–Ола - Козьмодемьянск;75.428;Ершово;Слева;Есть
Йошкар–Ола - Козьмодемьянск;75.475;Ершово;Справа;Нет
Йошкар–Ола - Козьмодемьянск;79.897;Арда;Слева;Есть
Йошкар–Ола - Козьмодемьянск;79.912;Арда;Справа;Нет
Йошкар–Ола - Козьмодемьянск;81.99;Ардинское СПТУ 22;Слева;Есть
Йошкар–Ола - Козьмодемьянск;82.352;Мазикино;Слева;Есть
Йошкар–Ола - Козьмодемьянск;82.401;Мазикино;Справа;Нет
Йошкар–Ола - Козьмодемьянск;83.984;Алешкино;Справа;Нет
Йошкар–Ола - Козьмодемьянск;84.155;Алешкино;Слева;Есть
Йошкар–Ола - Козьмодемьянск;85.746;ХИМ;Слева;Есть
Йошкар–Ола - Козьмодемьянск;85.8;ХИМ;Справа;Нет
Йошкар–Ола - Козьмодемьянск;95.455;Три Рутки;Слева;Нет
Йошкар–Ола - Козьмодемьянск;95.505;Три Рутки;Справа;Есть
Йошкар–Ола - Козьмодемьянск;108.65;Ахперка;Слева;Нет
Йошкар–Ола - Козьмодемьянск;110.668;Озерки;Слева;Нет
Йошкар–Ола - Козьмодемьянск;110.785;Озерки;Справа;Нет
Козьмодемьянск - Большой Сундырь;3.464;Сады;Слева;Есть
Козьмодемьянск - Большой Сундырь;5.1;Октябрьский;Слева;Есть
Козьмодемьянск - Большой Сундырь;5.238;Октябрьский;Справа;Есть
Козьмодемьянск - Большой Сундырь;6.553;Коптяково;Справа;Есть
Козьмодемьянск - Большой Сундырь;8.711;Шелаболки;Слева;Есть
Козьмодемьянск - Большой Сундырь;8.981;Шелаболки;Справа;Нет
Козьмодемьянск - Большой Сундырь;10.16;Кулаково;Слева;Есть
Козьмодемьянск - Большой Сундырь;10.261;Кулаково;Справа;Есть
Козьмодемьянск - Большой Сундырь;12.18;Усола;Справа;Есть
Козьмодемьянск - Большой Сундырь;12.58;Усола;Слева;Нет
Козьмодемьянск - Большой Сундырь;15.833;Аргаево;Справа;Есть
Козьмодемьянск - Большой Сундырь;17.273;Куликалы;Справа;Есть
Козьмодемьянск - Большой Сундырь;17.333;Куликалы;Слева;Нет
Козьмодемьянск - Большой Сундырь;18.914;Сарлайкино;Справа;Есть
Козьмодемьянск - Большой Сундырь;18.934;Сарлайкино;Слева;Нет
Козьмодемьянск - Большой Сундырь;21.106;Шиндыръял;Слева;Есть
Козьмодемьянск - Большой Сундырь;25.271;Кожважи;Справа;Есть
Козьмодемьянск - Большой Сундырь;27.269;Алдеево;Справа;Есть
Козьмодемьянск - Большой Сундырь;29.209;Шерекей;Справа;Есть
Емешево - Копань - Покровское;3.814;Копань;Слева;Нет
Емешево - Копань - Покровское;3.863;Копань;Справа;Есть
Емешево - Копань - Покровское;9.572;Покровское;Слева;Есть
Кельмаксола - Лайсола - Алеево;1.85;Кельмаксола (Магазин);Справа;Есть
Кельмаксола - Лайсола - Алеево;2.623;Лайсола;Справа;Есть
